시군명,의료기관명,종류,병상수,주소
목포시,목포청담병원,병원,60,"전라남도 목포시 청호로 109-0 (산정동, (산정동))"
목포시,목포현대병원,병원,268,전라남도 목포시 용당로 322-1 (용해동)
목포시,조연이비인후과병원,병원,72,전라남도 목포시 백년대로 298 (상동)
목포시,목포예향병원,병원,120,전라남도 목포시 삼학로223번길 38 (산정동)
목포시,목포아동병원,병원,41,전라남도 목포시 옥암로 149 (상동)
목포시,목포미래병원,병원,72,"전라남도 목포시 녹색로 41 (석현동, (석현동))"
목포시,목포미즈아이병원,병원,99,전라남도 목포시 백년대로 418 (옥암동)
목포시,제일내과병원,병원,36,"전라남도 목포시 섶나루길 126 (상동,126)"
목포시,목포장문외과병원,병원,31,전라남도 목포시 백년대로 322 (상동)
목포시,목포한사랑병원,병원,59,"전라남도 목포시 백년대로 335 (상동, (상동))"
목포시,의료법인세양의료재단신안병원,병원,85,전라남도 목포시 산정로 12 (동명동)
목포시,국립목포병원,병원,204,"전라남도 목포시 신지마을1길 75 (석현동,(석현동))"
목포시,의료법인항운의료재단 목포노동병원,병원,60,전라남도 목포시 수강로12번길 11-1 (행복동2가)
여수시,여수가온병원,병원,140,전라남도 여수시 좌수영로 251-0 (오림동)
여수시,여수중앙병원,병원,214,"전라남도 여수시 둔덕2길 6-3 (미평동, (미평동))"
여수시,예울병원,병원,37,전라남도 여수시 신월로 114 (웅천동)
여수시,씨에스나무병원,병원,56,"전라남도 여수시 도원로 164-1 (안산동, (안산동))"
여수시,여수한국병원,병원,221,전라남도 여수시 여천체육공원길 10 (신기동)
여수시,여수백병원,병원,130,전라남도 여수시 여서1로 50 (여서동)
여수시,의료법인 미나의료재단 여수문화병원,병원,99,전라남도 여수시 대치3길 26 (여서동)
여수시,사회복지법인 여수애양병원,병원,174,전라남도 여수시 율촌면 구암길 319
순천시,순정병원,병원,83,전라남도 순천시 해룡면 지봉로 372-3 (순정병원)
순천시,순천에스병원,병원,53,"전라남도 순천시 용당삼산로 11-0 (용당동, (용당동))"
순천시,이노스이비인후과병원,병원,43,전라남도 순천시 봉화3길 14-28 (조례동)
순천시,신대온누리병원,병원,66,"전라남도 순천시 해룡면 향매로 97-0, 2,6~7     층"
순천시,순천희망병원,병원,200,전라남도 순천시 중앙로 4 (장천동)
순천시,척병원,병원,61,전라남도 순천시 팔마로 205 (덕암동)
순천시,연세광혜병원,병원,30,전라남도 순천시 중앙로 166 (매곡동)
순천시,청연우리병원,병원,40,전라남도 순천시 팔마로 212 (풍덕동)
순천시,힘플러스병원,병원,96,전라남도 순천시 신월큰길 13 (조례동)
순천시,플러스아이미코병원,병원,62,전라남도 순천시 신월큰길 7-0 (조례동)
순천시,순천센텀병원,병원,56,"전라남도 순천시 백연길 100 (조례동, (조례동))"
순천시,미즈여성아동병원,병원,87,"전라남도 순천시 조례1길 10-26 (조례동, (조례동))"
순천시,순천우리병원,병원,92,전라남도 순천시 이수로 291 (조례동)
순천시,의료법인진의료재단 순천평화병원,병원,316,전라남도 순천시 양율길 180 (대룡동)
순천시,순천하나병원,병원,173,전라남도 순천시 팔마로 215 (덕암동)
순천시,오병원,병원,88,전라남도 순천시 충효로 150 (연향동)
순천시,의료법인내일의료재단 현대여성아동병원,병원,99,전라남도 순천시 장선배기1길 8 (조례동)
나주시,엔에이치미래아동병원,병원,52,전라남도 나주시 중야2길 29-0 (빛가람동)
광양시,의료법인파스카의료재단 광양우리병원,병원,201,전라남도 광양시 광양읍 숲샘길 80-0
광양시,강남병원,병원,78,전라남도 광양시 중마중앙로 17 (중동)
광양시,의료법인광양의료재단 광양병원,병원,30,전라남도 광양시 광양읍 인덕로 992
담양군,담양사랑병원,병원,86,전라남도 담양군 담양읍 천변7길 19
곡성군,의료법인대송의료재단 곡성사랑병원,병원,91,전라남도 곡성군 곡성읍 곡성로 761
구례군,구례병원,병원,97,전라남도 구례군 구례읍 동편제길 4
고흥군,고흥윤호21병원,병원,99,전라남도 고흥군 고흥읍 터미널길 16-0
고흥군,의료법인장호의료재단 녹동현대병원,병원,118,전라남도 고흥군 도양읍 차경구렁목길 215
고흥군,국립소록도병원 ,병원,674,전라남도 고흥군 도양읍 소록해안길 65
보성군,의료법인삼호의료재단 삼호병원,병원,341,전라남도 보성군 벌교읍 남하로 12
보성군,아산사회복지재단 보성아산병원,병원,100,전라남도 보성군 미력면 가평길 36-17
화순군,화순성심병원,병원,240,전라남도 화순군 화순읍 만연로 31
화순군,화순고려병원,병원,398,전라남도 화순군 화순읍 충의로 109
화순군,화순중앙병원,병원,213,전라남도 화순군 화순읍 칠충로 101
화순군,화순삼성병원,병원,115,전라남도 화순군 화순읍 서양로 336-3
장흥군,장흥통합의료병원,병원,100,전라남도 장흥군 안양면 로하스로 121
장흥군,장흥우리병원,병원,140,전라남도 장흥군 장흥읍 흥성로 83
강진군,전라남도 강진의료원,병원,199,전라남도 강진군 강진읍 탐진로 5
해남군,해남한국병원,병원,85,전라남도 해남군 해남읍 중앙2로 123
영암군,삼호제일병원,병원,49,전라남도 영암군 삼호읍 신항로 92-0 ( )
영암군,영암한국병원,병원,298,전라남도 영암군 영암읍 오리정길 8
무안군,남악아동병원,병원,44,전라남도 무안군 삼향읍 대죽동로 30
함평군,국군함평병원,병원,100,전라남도 함평군 해보면 신해로 1027
함평군,의료법인인성의료재단 함평성심병원,병원,40,전라남도 함평군 함평읍 영수길 132
장성군,의료법인행복나눔의료재단 장성병원,병원,239,전라남도 장성군 장성읍 역전로 171
장성군,장성혜원병원,병원,150,전라남도 장성군 장성읍 강변안길 22
완도군,완도대성병원,병원,98,전라남도 완도군 완도읍 청해진동로 63
진도군,의료법인남우의료재단 진도전남병원,병원,100,전라남도 진도군 진도읍 남문길 12-11 (진도전남병원)
진도군,진도한국병원,병원,35,전라남도 진도군 진도읍 남문길 48
신안군,의료법인신안대우의료재단 신안대우병원,병원,30,전라남도 신안군 비금면 송치길 155-11
신안군,의료법인서연의료재단 신안천사병원,병원,30,전라남도 신안군 암태면 중부로 1820-6
목포시,목포더좋은요양병원,요양병원,242,전라남도 목포시 용당로 334-0 (용해동)
목포시,옥암힐요양병원,요양병원,94,전라남도 목포시 남악1로52번길 11-4 (옥암동)
목포시,부부요양병원,요양병원,384,전라남도 목포시 영산로 620-1 (석현동)
목포시,정다운요양병원,요양병원,299,"전라남도 목포시 영산로 710-11, 7동 (석현동,정다운요양병원)"
목포시,의료법인청명의료재단 목포참사랑요양병원,요양병원,228,"전라남도 목포시 차범석길35번길 9 (북교동, (북교동))"
목포시,의료법인효경의료재단 효성요양병원,요양병원,432,전라남도 목포시 양을로 456 (상동)
목포시,의료법인새한의료재단 목포성심요양병원,요양병원,599,전라남도 목포시 영산로844번길 13 (대양동)
목포시,의료법인항운의료재단 목포요양병원,요양병원,248,전라남도 목포시 해안로 243-3 (행복동1가)
목포시,아름다운요양병원,요양병원,287,"전라남도 목포시 백년대로 267 (상동,267)"
목포시,의료법인우성의료재단 목포실로암요양병원,요양병원,207,전라남도 목포시 영산로 143 (호남동)
목포시,목포재활요양병원,요양병원,170,"전라남도 목포시 영산로 627 (석현동, (석현동))"
여수시,이안요양병원,요양병원,99,전라남도 여수시 해산4길 37(해산동)
여수시,현송요양병원,요양병원,100,전라남도 여수시 시청로 165-0 (선원동)
여수시,좌수영요양병원,요양병원,284,전라남도 여수시 봉계5길 10-13 (봉계동)
여수시,의료법인보듬의료재단 효드림요양병원,요양병원,124,전라남도 여수시 미평9길 21-0 (미평동)
여수시,청암요양병원,요양병원,251,"전라남도 여수시 둔덕2길 6-5, 0동 (미평동)"
여수시,은혜요양병원,요양병원,498,"전라남도 여수시 거북선공원2길 5-5 (학동, (학동))"
여수시,여수강남요양병원,요양병원,290,전라남도 여수시 진남로 15 (충무동)
