userid	stay_id	checkintime	leaving_datetime	dwell_minutes	longitude	latitude	cluster	venueid	venuetype	x	y
4	4_stay_0014	2026-07-31 17:01:05.501000+09:00	2026-07-31 17:57:29.500000+09:00	56.39998333333333	127.0610475543107	37.65203815453116	6	4_venue_006	unknown	961279.6678010796	1961484.6593945976
4	4_stay_0015	2026-07-31 18:52:36+09:00	2026-07-31 22:15:45+09:00	203.15	127.0754339648441	37.62305046561617	3	4_venue_003	unknown	962534.156976437	1958262.7489872556
4	4_stay_0016	2026-07-31 22:24:14.500000+09:00	2026-08-01 16:41:36.001000+09:00	1097.35835	127.0779123010379	37.62671126608456	1	4_venue_001	unknown	962754.6854912565	1958667.9128637325
4	4_stay_0017	2026-08-01 17:05:04+09:00	2026-08-01 19:16:17.610000+09:00	131.22683333333333	127.0686271391398	37.63954447594891	5	4_venue_005	unknown	961941.8978782992	1960095.4312199347
4	4_stay_0018	2026-08-01 19:53:26.500000+09:00	2026-08-01 21:03:39+09:00	70.20833333333333	127.0777102423088	37.6160068119341	4	4_venue_004	unknown	962731.5122474565	1957480.3798763899
4	4_stay_0019	2026-08-01 21:41:01.500000+09:00	2026-08-01 22:15:15.500000+09:00	34.233333333333334	127.07738440667895	37.627527346402644	1	4_venue_001	unknown	962708.5112375836	1958758.6631976892
4	4_stay_0020	2026-08-01 22:27:20+09:00	2026-08-02 15:56:41.500000+09:00	1049.3583333333333	127.0753933125433	37.62298321966748	3	4_venue_003	unknown	962530.5358432797	1958255.3045643822
4	4_stay_0021	2026-08-02 16:11:15.500000+09:00	2026-08-03 13:38:41.501000+09:00	1287.43335	127.07775734140215	37.62723376021599	1	4_venue_001	unknown	962741.2724991055	1958725.9429087967
4	4_stay_0022	2026-08-03 13:53:38.011000+09:00	2026-08-03 18:01:35+09:00	247.94981666666666	127.0791443375373	37.63239345122457	2	4_venue_002	unknown	962866.2290389924	1959297.839483695
4	4_stay_0023	2026-08-03 18:16:16.500000+09:00	2026-08-03 20:35:01.500000+09:00	138.75	127.07773759242224	37.62709635824852	1	4_venue_001	unknown	962739.4612475848	1958710.7065768763
